sample	location
57339_ID1760_01-DNA_S90_L001	raw/
57340_ID1760_02-DNA_S91_L001	raw/
57341_ID1760_03-DNA_S92_L001	raw/
57342_ID1760_04-DNA_S93_L001	raw/
57343_ID1760_05-DNA_S94_L001	raw/
57344_ID1760_06-DNA_S95_L001	raw/
57345_ID1760_07-DNA_S96_L001	raw/
57346_ID1760_08-DNA_S97_L001	raw/
57347_ID1760_09-DNA_S98_L001	raw/
57348_ID1760_10-DNA_S99_L001	raw/
57349_ID1760_11-DNA_S100_L001	raw/
57350_ID1760_12-DNA_S101_L001	raw/
57351_ID1760_13-DNA_S102_L001	raw/
57352_ID1760_14-DNA_S103_L001	raw/
57353_ID1760_15-DNA_S104_L001	raw/
57354_ID1760_16-DNA_S105_L001	raw/
57355_ID1760_17-DNA_S106_L001	raw/
57356_ID1760_18-DNA_S107_L001	raw/
57357_ID1760_19-DNA_S108_L001	raw/
57358_ID1760_20-DNA_S109_L001	raw/
57359_ID1760_21-DNA_S262_L001	raw/
57361_ID1760_24-DNA_S110_L001	raw/
57362_ID1760_25-DNA_S111_L001	raw/
58227_ID1760_22-DNA_S39_L001	raw/
